index,text,text_rating,rating
4,"Несмотря на детективный сюжет и весьма кровавую завязку, нравственный аспект вообще не затронут, упор сделан исключительно на психологию в демонстрации необычного «клиента». Вопрос виновности-невиновности вынесен за рамки повествования уже в самом начале фильма, когда адвокат сходу заявил, что на личность клиента ему откровенно плевать, и этот тренд строго выдержан до конца повествования. В результате даже и не понятно, какое же внутреннее отношение к подзащитному выработалось у главного героя: он бегал, пыхтел, изображал адвоката, даже рисковал, но не понятно – ради чего, кому и что он хотел доказать, хотел ли он заработать на этом деле, прославиться?.. На все вопросы чёткий ответ «нет». Шизофрения-натюрлих нависла надо всем сюжетом плотной тёмной тучей, сквозь которую не смогло пробиться ни единого лучика какой-либо иной мысли. В результате от просмотра возникает ощущение сокрушительной беспомощности и однобокости сюжетной идеи: одну единственную мысль размазали ровным слоем по всему повествованию, местами лишь прибавляя или убавляя яркость красок. Подковёрные игры с «сильными мира сего» никак не выстрелили, с лирикой тоже полный провал, куда ни ткни, – надо всем довлеет шизофрения... Для интеллектуального кино откровенно слабо, для игрового – на твёрдую троечку.

Поиск смысла вообще заводит в тупик: если подзащитный не так уж прост, каким кажется временами, то почему ж он так долго жил по ноздри в дерьме? на что вообще надеялся со своим 'фокусом'?..

Ввиду очевидной сухости центральной сюжетной линии, историю попытались сдобрить «человечинкой» в виде длительных неопределённых отношений между двумя бывшими сотрудниками по правоохранительным органам. Надо сказать, отношения получились мутными и ко всей истории не подходящими ни каким боком, – тень на плетень. Не догадались даже «дровишек в огонь подкинуть», чтобы как-то по-настоящему оживить это сухое юридическое болото. Так называемая лирическая линия не то, чтобы провисла, а даже и не нарисовалась толком. (По правде сказать, как затравочка, отыграна эта часть неплохо). Чаще всего подобные отношения разыгрывают для большего психологического драйва в противостоянии «титанов», но тут даже это не сработало. Все герои – тотальный «картон»!

Судья – женщина-негр. Типичный штамп голливудского кинопрома. Плюс, густо мазнули навозом по католической церкви, взяв для затравки «духоносно»-порнографическую идейку, – кристально чистый Голливуд.

Название – ни о чём.

Вывод. Старое доброе кино, при просмотре которого колеблешься между полусном и раздражением от наивности и нарочитой театральщины всего происходящего. К сожалению, актёрская игра тут утоплена в жёстко прописанных заумных диалогах, где из участников истории насильно делают кукол на верёвках, а не живых людей. Хотя фильм и не старый, но по современным меркам скучноватый. Идея интересная, но она играет тут в одиночку на пустом поле.

ПС

Кажется, это первая существенная роль Нортона, и он уже тут неплохо раскрыл свой актёрский талант. 

6 из 10",6 из 10,6
9,"Это я к тому, что 'голливудское кино' это, конечно, в целом совсем не тупая яркая жвачка, какой ее иногда выставляют ярые противники. Но 'Плохие парни' 1 или 2, разницы нет, как раз тот самый пример 'тупого Голливуда'. Здесь очень мало смысла, здесь яркие, причем часто абсолютно неоправданно с точки зрения сюжета, экшн-сцены, здесь много пошлости, пальбы и всяких блестящих штучек: дорогие машины, девочки и пр. Здесь просто масса дыр в логике сюжета, здесь порой абсолютно необъяснимые поступки персонажей с точки зрения зрителя, здесь диалоги или смешные или не о чем, здесь актеры откровенно томятся в кадре, когда не приходиться стрелять и т.д. Но это в общем, а вот конкретика:

Сценарий

Два хороших полицейских шумно и весело ловят плохого парня. Все. 

Игра актеров

Я не согласен с тем, что в подобного рода картинах требовать от актеров выдающейся игры не надо, дескать, спецэффектами закидаем. Нет, было же 'смертельное оружие', там Гибсон пусть и не блистал-таки, но откровенно держал на себе картину. Я например, помню не столько экшн-сцены из этого старого доброго боевика (хотя их там тоже предостаточно), сколько его игру. Здесь же герои без особой надобности не напрягаются, да и, справедливости ради, особо играть тут некогда, война, знаете ли. 

Эффекты

Здесь да, спорить трудно. Что Бэй умеет делать, так это зрелищные сцены. Хотя, кроме пресловутой погони за тягачом в голове как-то особо ничего не задерживается. Да, громко, дорого, но как-то без изюминки, не оригинально. 

Режиссура

Все-таки чувствуется призвание режиссера - он клипмейкер. Он делает маленькие яркие кусочки, а все остальное между ними - лишь прослойки. Поэтому и повествование так идет - от одной красивой сцены - к другой, и какими путям герои к этой сцене движутся, и даже если эти связки просто нелогичны и не закономерны - для режиссера уже не столь важно.

Глядя на несколько работ Бэя, легко можно выделить их основные черты: это много огня, шума и пафоса. Вот последнее особенно раздражает. Его герои в туалет не могут сходить без фанфар. И если это еще более менее прокатило в Армегедоне (все-таки планету спасали, не хухры-мухры), то когда герои 'bad boys' узнают, что злодеи похитили девушку, а камера тут же снизу объезжает их на фоне тревожного неба и звучит там-та-ра-рам, типа 'вставай солдат, мир вопасносте' - это извините, просто улет. Я подумал было, что это такая изящная пародия на самого себя и на боевики в общем, но нет, у режиссера все всерьез. Дальше к героям присоединяется прорва помощников-добровольцев, все из кожи вон лезут, чтобы тоже спасти мир, плохие или сомнительные доселе парни вдруг осознаю свои ошибки и тоже встают в ряды героев. И вот как результат: начальник, который до этого не разрешал героям даже стрелять в городе, теперь с улыбкой санкционирует незаконное вторжение на Кубу (!), повстанцы за несколько часов прорывают многометровый подкоп к дому злодея (вообще непонятно, зачем, кстати), к операции присоединятся ЦРУ-шники, морские котики и кого там только нет, а возглавляют все это два легавых, которые до этого толком не могли даже жучки в доме расставить. В общем, тушите свет, мозг перед этим бессмысленной и яркой кучей просто пасует.   

В общем мой вам совет: тех двух с половиной часов фильм конечно, не стоит. Посмотрите где-нибудь в ютюбе сцену с раскидыванием тачек на Ферарри - больше ничего неинтересного в фильме нет.  

6 из 10",6 из 10,6
12,"А я этот фильм посмотрел впервые неделю назад!
Поэтому могу оценить его только с позиции сегодняшних дней.

Всё это мы видели раньше: и комедийные эпизоды, встроенные в фильм ужасов, и мкассовые толпы оживщих мертвецов.
К сожалению, спецэффекты уже смотрятся очень блекло.

Но, идейность в виде мимики главного актёра в качестве реакции на сложившиеся обстоятельства действительно была кстати.

Что касается эпизода с произнесением заклинания при выборе нужной книги  - однозначно, самый яркий момент в фильме, как и боевой клич вождя мертвецов.

В целом, здоровая порция юмора, куча мертвецов - на 1 просмотр потянет даже и в наше время (для тех, кто ещё не успел посмотреть это творение.

5 из 10",5 из 10,5
13,"Вот совсем недавно посмотрел этот хоррор. Многие считают этот фильм шедевром, но я так не считаю.

В фильме больше всего мне понравился первый и последний эпизод. Они понравились мне хорошей работой оператора, красивыми местами и весьма неплохой динамикой саундтрека. 

Хочется отметить несколько минусов, которые я заметил в фильме:

Главные герои почти ничего не боятся. Например:
Услышав странные голоса, девушка сразу, ничего не боясь, выходит из дому и идет в лес.
Эш выходит из машины, оставив девушку одну посреди ночи.

Злу не должна мешать закрытая перед ним дверь (если это, конечно, настоящее Зло).

А теперь я перечислю самые запомнившиеся плюсы в фильме:

Зло управляет лесом - это что-то новое. А даже если не новое, то удивительное.
Спецэффекты для 1981 года очень даже не плохи. В фильме присутствует действительно качественный звук.
Хорошо сделаны мертвецы.
Отличная игра актеров. Особенно хорошо сыграл Брюс Кэмпбелл.

Еще в фильме мне понравился, на мой взгляд комедийный (или просто глупый) момент:
Эш с другом стоят и наблюдают, как мертвецы жрут человеческое мясо, вместо того чтобы бежать.

Мне не понравилось поведение мертвецов. Оно выглядит очень глупо и по-детски.

В итоге могу сказать, что Сэм Рэйми смог снять неплохой хоррор.
Может быть, и классика жанра, но далеко не шедевр. Извиняюсь перед фанатами, но я написал свое мнение.

5 из 10",5 из 10,5
21,"Придется разбавить обилие положительных рецензий. Большинство в восторге от этого фильма. Многим нравится. А мне не понравился. И немного чувствую себя неполноценной. То ли у меня такой плохой вкус, то ли я чего-то не понимаю.

Вроде бы судебная драма с претензией на отличный фильм. А я смотрю и думаю: 'От чего все в восторге? Что в этом фильме такого?' Реально со всего фильма было 2-3 момента, заставившие меня прилипнуть к экрану. И то не благодаря сюжету, а только отличной актерской игре. 

Сюжет писанный вилами по воде. Есть парнишка с ангельским личиком и невинным выражением лица и адвокат, который хочет прославится на громком убийстве. Намешали в одну кучу столько всего, что вообще порой начинаешь путаться за что и кого судят.

Герои абсолютно никаких чувств не вызвали. Обычно в судебных драмах подсудимого либо ненавидишь, либо всей душой сочувствуешь. А тут просто безразлична судьба героя. Посадят - ну и отлично, не зря ж он бегал весь в крови. Освободят - ну и пожалуйста.

Адвокат вообще не понятно чем занимается. То ли парня защищает, то карьеру делает на связях жертвы, то ли вообще выясняет отношения с бывшей подружкой, по совместительству прокурором, ведущим это дело.

Фильм держится исключительно на актерской игре. Даже Ричард Гир, о котором я не очень хорошего мнения, весьма не плохо сыграл. Эдвард Нортон вообще потрясающе. А если учесть, что это его дебют в кино, то у меня реакция только одна - аплодисменты стоя

7 из 10",7 из 10,7
23,"Этот фильм скорее триллер, чем ужасы. И в данном случае, Ромеро снял фильм, в котором затронута проблема маленького человека в обществе, где каждый готов нанести по-своему обиду. Жена спит с начальником и готова с ним же сбежать, личный бухгалтер с той же самой женой ворует деньги и т.д. 

В один прекрасный момент главный герой понял, что его уничтожают, как личность. И единственный способ вернуть своё лицо (в буквальном смысле) он решает уничтожить своих обидчиков.

Задумка неплохая, но уверен, что такой именитый режиссер, как Ромеро мог бы экранизировать этот сценарий куда более лучше. Но не экранизировал, выдал на наш суд данное творение.

5 из 10",5 из 10,5
28,"Пятеро друзей, два парня и три девушки, приезжают на отдых (весьма странная идея, кстати) в старый, заброшенный дом где-то в глубине мрачного леса. В подвале дома они находят старинную книгу и аудио-плёнку, на которой записано обращение археолога, когда-то жившего в этом доме. Голос утверждает, что заклинания, записанные в книге, могут пробудить демонов, рыскающих по округе. А затем сразу же зачем-то голос эти заклинания произносит. Ну и понеслось...

Мда... Совсем не этого я ожидал от первого фильма нашумевшей франшизы Сэма Рэйма. В детстве мне довелось посмотреть только третью часть серии, самую кассовую из всех. И несмотря на то, что прошло много лет, некоторые шутки и сцены оттуда я помню до сих пор. 'Армия тьмы' осела в моей памяти, как забавный трешачок, фактически пародия на жанр 'фильм ужасов', с действительно смешными моментами, типа попыток правильно произнести заклинание, маленькой копии Эша и уморительно-забавными 'монстряжками'. Вот что-то подобное я и ожидал увидеть в первой части 'Зловещих мертвецов'.

А вместо этого увидел банальный 'ужастик' класса B, с навязчивыми попытками шокировать зрителя литрами бутафорской крови, с жалкой претензией на юмор и убогими сюжетными поворотами. Хотя слово 'повороты' тут не уместно, после первой демонической 'инициации' сюжет, единственной переменной которого становится количество жертв, фактически топчется на месте. При таком сценарии, бюджете и актёрской игре эту картину реально мог бы спасти только юмор: больше пародий, больше высмеивания штампов, больше глупых ситуаций, больше шуток, в конце концов. Но, к сожалению, эта часть франшизы просто 'убийственно' не смешна. Да и в прокате она собрала, кстати, совершенно не значительную сумму — примерно в 25 раз меньше 'Омена' и во столько же раз меньше 'Хэллоуина'. И если бы не мизерный бюджет (сопоставимый с 'Хэллоуином', кстати), то, возможно, мы бы и не увидели с вами ни второй, ни третьей части этой франшизы.

Одним словом, я немного в недоумении. На мой взгляд, первая часть 'Зловещих мертвецов' — ничем не выделяющаяся 'бэшка', которая почему-то стала культовой в кругах любителей 'фильмов ужасов'. И если в случае с третьей частью я ещё могу понять, почему так произошло, то в данном случае логики я не вижу.

5 из 10",5 из 10,5
29,"Все же скорее нет.

У меня иногда возникает впечатление, что существует два Джима Керри. Один - хороший комедийный и неплохой драматический актер. И второй - балаганный кривляка, не способный сделать и шагу без какой-то туповатой, обычно пошлой, шуточки. И если первого я люблю ('Маска', 'Шоу Трумена', 'Я люблю тебя, Филлип Моррис'), то второй мне не нравится ('Тупой и еще тупее' и вот 'Эйс Вентура').

У него дико богатая мимика и он этим, понятно, пользуется. Но 'все есть яд и все есть лекарство', когда кривляний слишком много, через какое-то время они начинают бесить. В этом фильме перебор кривляний, перебор юмора 'ниже пояса'... да, наверное, если считать, что существует жанр 'тупая американская комедия' (существует же жанр трэш-ужастиков), то фильм неплох среди своих.

Но в целом, не больше чем - 

5 из 10",5 из 10,5
30,"Мыльная опера, уж больно затянутая. Участие массы популярных актеров и режиссура маститого Олтмана никак не отменяют того обстоятельства, что фильм безбожно затянут, в драматургическом смысле никчемен (можно добавить 2-3 новых линии или убрать 2-3  из существующих), в нем отсутствуют 'ударные' реперные сцены, что для трехчасового творения, в общем, фатально. Критический настрой к 'среднему классу' не меняет сути дела. Смотреть перестал после двух часов: что-то не верится в ошеломляющий финал, который якобы перевернет все виденное ранее. 'Магнолии', снятые не без ощутимого влияния Олтмана, получше. 

6 из 10",6 из 10,6
34,"Пожалуй, единственной причиной, по которой данный фильм можно отнести к жанру - это кровь, ее здесь действительно много. Монстры кажутся забавными, их поведение комичным. Задумка неплохая, сюжет был интересен до определенного момента, с которого, по-моему, начинается отличная комедия 18+, посмеяться можно от души. Возможно, если посмотреть данную картину впервые в 80-х, то сложится иное впечатление, возможно причина такого восприятия сейчас кроется в большом количестве просмотренных современных хорроров, может быть, для кого-то это классика. 

Герои совершают глупые поступки, за которые потом страдают. Все, включая финальную сцену, предсказуемо.

Что радует - это актерская игра. Профессионально, качественно. Страх выглядит очень живо и естественно. Пожалуй, только благодаря этому ставлю:

5 из 10",5 из 10,5
