,index,text,text_rating,rating
0,1,"В фильме Оливера Стоуна 'Поворот' есть идея, которая и заключается в том самом повороте, или, точнее, развороте. А вот смысла в картине нет. И хотелось бы поверить, что смысл как раз в отсутствии смысла, но не получается - уж слишком много внимания создатели уделяют раскрытию персонажей и их внутренним конфликтам, забывая о том, что гротеск всегда поверхностен. В результате чего гипербола обрывается так и не дойдя до той точки, где она могла бы считаться стилистически оправданной, а ирония совсем немного не дотягивает до злого абсурда.

В картине чувствуется рука хорошего режиссера: каждый кадр, каждый звук, каждое движение камеры заставляют замереть в предвкушении элегантно черной комедии о невероятных приключениях не совсем адекватного героя в совсем неадекватном городке. Но, когда на смену почти пародийному началу приходит классически приторная сцена знакомства Бобби(Шон Пенн) и Грейс(Дженифер Лопес), становится ясно, что ожиданиям не суждено сбыться. Слишком размеренное для представленных поворотов сюжета действие не дает вдоволь насладиться циничным юмором. Гипертрофированная алчность смазывается трогательными рассуждениями о свободе. Утрированная жестокость обесценивается настороженным отношением к табу. А порой слишком пронзительные душевные переживания героев мешают до конца проникнуться общей бредовстью происходящего.

Таким образом повествование не отвечает не только ни одному из заявленных жанров, но и гармоничному их смешению. Это отражается и на актерах, которые, надо отдать должное, почти все были на уровне. Но тем не менее Шон Пенн образцово играет драму, Ник Нолти непринужденно играет ей противоположное, а Дженифер Лопез старательно играет что-то промежуточное. А все потому, что большая часть действующих лиц или мечется от глубоких психологических образов до гротеска (как то ли непредсказуемая истеричка, то ли израненная детская душа Грейс), или уступает  штампованности, а не карикатурности(так старый слепой индеец несет скорее банальную, чем смешную околесицу). Исключениями в этом плане являются безумный автомеханик и деревенский мачо. Эти два персонажа в исполнении Билли Боба Торнтона (которого узнать, пожалуй, сложнее, чем Эдварда Нортона в Царстве Небесном) и Хоахина Феникса безусловно радуют взор. Радуют тем, что одновременно раздражают и веселят своей непререкаемой нелепостью, незамутненной никакими примесями любительского психоанализа. Но, как только они уходят из кадра, все снова погружается в томную неопределенность.

В итоге после просмотра вопрос об удачном и полноценном симбиозе черной комедии и драмы оказался для меня закрытым. Потому что призвание первого заключается в высмеивании второго и специфика этого юмора сводит на нет все попытки вызвать у зрителя глубокое и искреннее сочувствие происходящему. Можно сказать, что фильм этот просто более тонкая формация, но периодическая нарочитая грубость в словах и действиях персонажей не дает мне в это поверить. И пусть 'Поворот' лучший из подобных гибридов, но и он не показался удачным. Ведь даже финал, со всей его прелестью, выглядит предсказуемым на фоне предшествующего.

5 из 10",5 из 10,5
1,2,"Вроде поначалу было смешно, а чем дальше, чем хуже. Возможно, те, кто смотрели этот фильм, ещё когда он выходил, оценили его выше. Так же как 'Горячие головы' и 'Шестой элемент', но те фильмы всё-таки лучше, чем этот. Более добротно сняты, что ли. А это не пародия, а какая-то каша.

Решил посмотреть из-за того, что это пародия на фильм 'Молчание ягнят', который мне безумно понравился и стал одним из моих любимых триллеров. В описании сказано, что в этом фильме пародировали ещё 'Парк Юрского периода' - что-то я этого не заметил, хотя оригинальный фильм смотрел. Так же здесь пародии на фильмы 'Женщина в красном', 'Основной инстинкт', 'Психо'. Эти фильмы я не смотрел, да и не заинтересован ими. Один из героев пародии на некоторых сценах изображает Терминатора - одноимённый фильм я смотрел, и считаю его шедевром, только в пародии вообще не было смешно над этим персонажем.

Эцио Греджо в 2011 году снял ещё одну пародию 'Блокбастер 3D'. Тот фильм я пока не смотрел, но ради интереса посмотрю. Скорее всего, такая же тупость. Про данный фильм кто-то пишет 'этакое Очень страшное кино в зародыше' - вот не надо сравнивать это творение с такой великой пародией, как 'Очень страшное кино'. Этот фильм - скорее 'Нереальный блокбастер' в зародыше - вот так будет вернее. Там тоже была несусветная тупость, только со спецэффектами. Из старых пародий могу назвать первую часть 'Голого пистолета', которая была намного смешнее и интереснее этого убожества.

Смотреть только тем, кому просто хочется увидеть, как пересмеяли кучу фильмов - если им неважно, как именно пересмеяли. По-настоящему смешно было только на первых сценах. Финальная сцена очень похожа на концовку фильма 'НУ очень страшное кино' (2000). Тот фильм был тоже не фонтан, но забавнее этого.

4 из 10",4 из 10,4
2,3,"Я понимаю, что бывают плохие концовки, которые страшно портят фильм, бывают просто проходные, слабые ленты, но бывают картины, которые непонятно зачем сняты и для кого?

Данный фильм как раз из этой оперы. Во-первых, фильм ничего нового не привносит в фильмы про серфинг - все это я уже видел раз сто! Красивое море, огромные волны, солнце, пляжи. Скучно, серо, неактуально. Сразу скажу, что я досмотрел фильм до титров с огромнейшим трудом, делая постоянные перерывы во время просмотра, чтобы не сблевануть. Зачем спросите вы? Затем, чтобы написать данную рецензию объективно и возможно спасти некоторых людей от испорченного вечера! 

Во-вторых, в том же довольно средненьком, но милом фильме 'На гребне волны' хотя бы сюжет есть, а здесь? Набор слабо связанных эпизодов, с отвратительной игрой актеров, причем всех, без исключения. 

В фильме страшно сквозит из-за всех дыр такой наивностью и неправдоподобностью, что начинаешь задумываться: все ли в порядке с головой у создателей? А главную героиню здесь представляют настоящей шалавой, в прямом смысле слова и самое смешное, что это здесь только приветствуется! 

Ну и напоследок, был поражен, в каком свете здесь представлен непосредственно сам серфинг. Я в деталях всего не знаю, как в настоящей жизни все устроено в этом виде спорта, но в фильме показано все так, что после такого на доску для серфинга ни один здравомыслящий человек в жизни не встанет. Здесь прямо и без обиняков показано, насколько страшный и опасный этот вид спорта, что участники соревнований сами подписывают бумаги, что в случае смерти... ну вы меня поняли. После всего этого в голове возникает образ, что серфинг - спорт для суицидальников. Нет, я все понимаю, что это драйв, это адреналин, но шансов убиться в этом адреналине больше, чем в ДТП или в процессе кормления акул. Для меня это дико! 

Итог: если вы девочка лет 14, вам, возможно, понравится это, для остальных - держитесь от этого фильма от греха подальше! 

2.5 из 10",5 из 10,5
3,4,"Замечательная пародийная трилогия «Голый пистолет» (1988-1994) от бессмертного трио Цукер-Абрахамс-Цукер, в которой главную роль сыграл гениальный комик Лесли Нильсен возвела американскую комедию на новый качественный этап развития. Кинематографисты со всего мира бросились подражать своим коллегам и пробовали сотворить свои пародии на самые известные картины десятилетия. Конечно же, первенство в данной камеди-гонке одерживали американцы, вместе с такими уморительными картинами, как «Горячие головы» и «Заряженное оружие». Однако в далекой Италии был один человек, которому не давали спокойствия триумфальные лавры Лесли Нильсена и он всеми силами старался показать миру свой талант. Имя ему - Эцио Греджо. Поставив у себя на родине несколько более-менее успешных комедий, Греджо наладил контакты с голливудскими продюсерами и написал для будущего совместного итало-американского проекта сценарий картины под названием «Молчание ветчины». Взяв за основу такие классические триллеры, как «Психо», «Молчание ягнят» и «Основной инстинкт» и переработав их сюжеты в нечто пародийно-невразумительное, Греджо также смог получить пост режиссера и отвел себе одну из ведущих ролей в картине. Но это, к сожалению, ни коим образом не повлияло на качество амбициозного проекта.

Главным героем картины является молодой агент ФБР Джо Ди Фостер (Билли Зейн). Начальство поручает ему встретится с опаснейшим маньяком и по совместительству гениальным психиатром Анималом Каннибалом Пиццей (Дом ДеЛуис), который может навести Джо на след психопата, который терроризирует город. Ситуация усугубляется в тот момент, когда подруга Джо, сексапильная Джейн (Шарлин Тилтон) сбегая по неким причинам из города, совершенно случайно становится заложницей в мотеле «Кладбище», где хозяйничает зловещий синьор Антонио Мотель (Греджо), ведомый своей полоумной матерью. Судя по всему именно Мотель и является тем самым не пойманным маньяком. Так что главному герою придется распутать два дела одновременно - отыскать свою подругу и поймать злодея...

С самой первой минуты Эцио Греджо старается подражать Цукерам, Абрахамсу и Нильсену впутывая главного героя в исполнении молодого Билли Зейна в целый ворох алогичных ситуаций и самого настоящего абсурда. Но если тот же «Голый пистолет» каждую ситуацию сопровождал тонкой сатирой или же диким, но вполне органично обоснованным последствием действий героя, то «Молчание ветчины» выглядит словно оно снята абсурдно ради самого абсурда. Не спорю, что в картине присутствует несколько действительно смешных моментов и многие эпизоды вполне мило смотрятся, включая кадр с бьющими на башне курантами, которые при отъезде камеры превращаются в наручные часы, но большинство шуток не вызывают ничего, кроме уныния.

В название картины, постер и синопсис особым пунктом вынесена лента Джонатана Демме «Молчание ягнят». Я же в свою очередь надеялся на довольно продуманную пародию образов агента Клариссы Старлинг и доктора Ганнибала Лектера. Однако на деле вся выдумка Греджо свелась к тому, что имя своего главного героя он придумал в честь Джоди Фостер - Джо Ди Фостер (ну просто верх остроумия...), ну а незабвенный герой Энтони Хопкинса, осмеянный в данной пародии, получил имя Анимала Каннибала Пиццы (еще одна великая шутка...). И если Билли Зейн в своей игре ничуть не пародировал реальную Фостер и ждать от него чего-то неординарного не приходилось, от чего старания актера не раздражали и где-то даже казались вполне приемлемыми, то Дом Де Луис стал лично для меня главным разочарованием проекта. Мало того, что его внешний образ был далек до оригинала, так его еще нарочито сделали излишне полным, лысеющим бородачом. Ну а всего его гениальные способности свелись к тому, что он ходил по потолку своей камеры и спал на стене. Кроме того он имеет нездоровый интерес к пицце и плохой театральной игре. В общем, не стоило Эцио Греджо впутывать светлое имя доктора Лектера в свою сумасшедшую картину без оригинальной выдумки.

Более-менее лестные слова можно сказать лишь в адрес пародии на «Психо», которая заняла весомы кусок хронометража и даже смогла перебить неприятный осадок от опошления «Молчания ягнят». Греджо примерил на себя образ злодея и практически до самого финала являлся самым интересным и загадочным героем фильма. А потому в голову закрадываются параноидальные теории о том, что итальянец специально саботировал работу всего актерского состава своей примитивной режиссурой, дабы проявить себя, как гениального комика голливудского масштаба... Но это скорее мои глупые выдумки, вызванные от просмотра данного творения. Что же касается остальных осмеянных лент, включая «Основной инстинкт», «Парк Юрского периода» и «Звездные войны», то они выскакивали лишь в некоторых эпизодах и не несли никакой серьезной нагрузки главной сюжетной линии.

Отдельно хочу отметить, что Греджо был одним из первых режиссеров-пародистов Голливуда, который насытил свой фильм немалым количеством знаменитостей, занятых в эпизодических ролях. Встречайте здесь Буббу Смита (Хайтауэр из «Полицейской академии»), Тони Кокса (эльф, «Плохой Санта»), Джо Данте (режиссер, «Гремлины»), маэстро Джона Карпентера, Джона Лэндиса (режиссер, «Их поменяли местами»), Лэнса Кинси (Проктор из «Полицейской академии») и великого комедиографа Мэла Брукса. Честно сказать, именно участие подобных личностей во многом заставило меня досмотреть картину Эцио Греджо до финала, ведь когда за скудоумием сценария не кроется ничего хорошего, остается лишь выискивать в той или иной сцене знаменитой лицо и номинально отмечать его в своей памяти.

В итоге хочу сказать, что «Молчание ветчины» несмотря на год своего создания, 1994-й, не имеет право получить снисхождение из-за старины, ведь лучшие творения Цукеров и Абрахамса были сняты за несколько лет до творения Греджо и их качество было на две головы выше. В наше время данная пародия имеет ценность лишь как ностальгический аттракцион для почитателей кинематографа 90-х и ранее годов. Всем же остальным я не рекомендую «Молчание ветчины» к просмотру. Но на это намекал и сам постановщик, отправляя загримированного под Хичкока клоуна убивать себя же под конец своей ленты...

4 из 10

P.S. Эцио Греджо все-таки сумел приблизиться к своему кумиру, Лесли Нильсену, снявшись с ним в комедии «Шестой элемент» 2000-го года. И этот фильм стал одним из самых громких провалов в карьере последнего.",4 из 10,4
4,6,"Нельзя сказать, что фильм 'Капитан Крюк' совсем уж плох. Все-таки Стивен Спилберг - не Ролланд Эммерих, откровенной халтуры не снимает (хотя субъективно я и не люблю многое из его творчества). Общеизвестно, как трепетно Спилберг относится к теме детства, тем более удивительно, что именно фильм о Питере Пэне, олицетворяющем детское начало, нельзя назвать удачным творением мастера.

Артист Уильямс, ухитряющийся опошлить и сделать насквозь фальшивым любой фильм, где играет главную роль (этого счастливо избежали только, пожалуй, 'Король-рыбак' и 'Общество мертвых поэтов'), играет здесь роль Питера Пэна (да-да, он играет вечно юного озорного подростка). То как он выглядит в коротких штанишках, плотно обтягивающих его престарелые телеса, лохматый на подростковый манер - зрелище весьма дикое. В первую очередь именно он сослужил дурную службу этому фильму.

'Капитан Крюк' очень детский фильм, незамысловатый, в чем-то даже примитивный. Но при этом его идейный посыл (что необходимо всегда сохранять в себе лучшие детские качества и пр.) явно адресован взрослой аудитории. Это несоответствие тоже не способствует тому, чтобы фильм стал нетленным шедевром.

С другой стороны, отличный кастинг (Мэгги Смит, Дастин Хоффман, Боб Хоскинс, Гвинет Пэлтроу и пр.), яркая картинка делают фильм 'Капитан Крюк' не самым плохим на свете способом провести время.

6 из 10",6 из 10,6
5,7,"«Питер Пэн», я имею в виду. Правда, тоже уже давно не смотрел, но зато отчетливо помню свои эмоции. Грустный финал – в лучших традициях «Гостьи из будущего» – и т.п. 

А здесь… Что первый раз смотрел – уж и не скажу, когда – слишком давно было – не впечатлило, что давеча. А ведь с точки зрения зрелищности, да просто расходов даже на производство картины – с отечественной лентой и сравнивать не стоит. Разные весовые категории. А вот, однако же, какие результаты получаются.

«Капитан Крюк» – кино, конечно, роскошное. Костюмы, декорации, реквизит – всё на высшем уровне. Опять же звезды первой величины: Д. Хоффман, Р. Уильямс, Д. Робертс – «чего ж тебе еще надо, собака?!» – если словами незабвенного Иоанна Васильевича. Наверное, всё-таки душевности. Уж больно у них, у американцев, как-то всё напоказ. Деланно, нарочито. И, как результат, некий «химический привкус» вместо обычной сладости или (по ситуации) горечи. Что нам остается после этого? Только грешить на несхожесть культур и пр. глобальные вещи.

А если попытаться более предметно поговорить… Я сказку саму не читал. И перипетии сюжета помню (всё по той же советской киноленте, главным образом) плохо. Чем так не сошлись Питер Пэн и Капитан Крюк, представляю себе слабо. Но ведь в фильме, хоть он, отчасти, и сиквел популярной истории, авторы нашли время рассказать нам вкратце, что было «в предыдущих сериях». А ясности не прибавилось. Зачем Капитану – особенно после стольких лет спокойной жизни – снова понадобилось встречаться со своим «заклятым врагом»? Что принципиально изменилось бы в случае его победы? В общем, сплошные вопросы. А тут еще и любовь, понимаешь (я про фею), дети (парнишка, на мой взгляд, дюже невнятный попался). Про концовку я вообще молчу: выброшенная на эмоциях в окно (зачем только откапывать было) телефонная трубка, улетающий в облака дедуля, дежурный «чиз» на камеру – «Добро пожаловать в Голливуд!».

Короче говоря, не наше это кино. Я бы его своим детям смотреть не рекомендовал. Не то, чтобы оно было какое-то совсем уж плохое или  вредное – отнюдь. Крови нет, насилия – не больше чем в любой детской дворовой игре, приключения, да и только: забавно, красочно, но… ни о чем. Взрослые – те да, может, кто и задумается (хотя маловероятно) – о семье, детях и т.п. Тема-то известная: дом-работа. Но с точки зрения какого-то внутреннего посыла именно юным зрителям, по-моему, это пустышка. Красивая, яркая, но бесполезная. Так, разве что, занять чем-нибудь, не более. Впрочем, возможно, я и ошибаюсь: развлечения – они ведь тоже нужны. Но всё равно: не лежит у меня душа к этому фильму, и всё тут.

6 из 10",6 из 10,6
6,8,"Об этом фильме можно сказать очень коротко, ибо большего он не заслуживает.  Все в фильме слишком стандартно. Обыкновенный продукт Голливуда, коих выпускается каждый год около сотни.

5 из 10",5 из 10,5
7,9,"Продолжение суперкомедии 'Уик-энд у Берни' доверили снимать сценаристу первой части, который написал сценарий и для второй. Так же привлекли троицу основных актеров из оригинала, так что у сиквела были все шансы стать достойным продолжением. 

Были... Да сплыли (!). Откровенный провал, даже кассовые сборы раза в два меньше чем у оригинала. Рейтинг IMDB ниже 4. Да хотя бы тот факт, что о второй части я узнал случайно, т.е. думал что есть первая и всё, уже о многом говорит. Наверное если бы посмотрел этот фильм в детстве, то не был бы сейчас столь категоричен, но поезд ушел и данная 'комедия' представляется мне редкостной шлачиной. 

Что же мне так не понравилось? Вроде Терри Кайзер опять бесподобно изображает 'живой' труп. Да и Эндрю МакКарти с Джонатаном Силверманом вновь нам показывают пару забавных неудачников. Так что не так? Всё дело в юморе. Он изменился и стал плоским как доска. На первый взгляд тоже самое. Мертвец среди людей как живой. Ларри и Ричи крутят свои авантюры. Но в какой форме это всё подано - просто уму непостижимо. Мне кажется создатели с этой самой 'мертвечиной' палку не то чтобы перегнули, а изничтожили в пух и прах. А этот бред с магией Вуду вообще ни в какие ворота не лезет. 

Можно провести сравнительный анализ. Когда я один смотрел первую часть, то смеялся на протяжении полутора часа и еще долго вспоминал. При повторном просмотре в компании друзей шум от хохота зашкаливал за 100 децибел. 'Уик-энд у Берни 2' же лишь однажды вызвал улыбку, и то уже не помню над чем посмеялся. Подобного рода юмор пригоден если выпить литра три пива и догнаться чем-нибудь покрепче.  

5 из 10

От такой комедии Берни перевернулся бы в гробу...если бы там лежал.",5 из 10,5
8,10,"'Когда мне было 5 я обнаружил небесное тело, которое впоследствии оказалось луной'

Из сериала 'Теория большого взрыва'

Четвертая часть франшизы «Аэропорт» обладает действительно хорошим, хоть и немного заезженным посылом, красной нитью проходящим через весь фильм – все люди братья и надо жить в мире. И действительно, в фильме нет расовых предрассудков и конфликта поколений, а все герои живут согласии и не обращают особого внимания на козни крупной корпорации. К сожалению, на данном этапе развития нашего общества эта идея весьма утопична, но я бы все же записал ее в плюсы картины.

Губит фильм другое – откровенная тупость героев и абсолютный кретинизм ситуаций, в которые они попадают. И я еще могу понять опытную журналистку, которая получив данные, способные уничтожить злодейскую корпорацию, рассказывает о них своему любовнику, который по совместительству является одним из руководящих звеньев этой самой корпорации. И я могу понять журналиста, который на английском языке задавал вопросы русской глухо-немой девочке, благо ее отец, который имел все шансы послужить прототипом Супер Марио быстро пришел на помощь.

Но мне не за что не понять как после того, как на один самолет, дважды во время одного, не самого длинного полета, совершили покушения, никто не обратил на это внимания. И мне не понять, как физически возможно стрелять из ракетницы, находясь при этом в Конкорде, который, ко всему прочему, не только летит на огромной скорости, но и выписывает в воздухе замысловатые фигуры.

Не спасают фильм и любовные линии, в любом другом случае способные своим разнообразием вызвать определенный интерес. Хотите посмотреть на взаимоотношения одной из муз Ингмара Бергмана, Биби Андерсон и Джорджем Кеннеди, который с маньячной улыбкой рассказывает о недавно погибшей жене? Пожалуйста! Хотите увидеть, как сплелись судьбы двух французских секс-символов 70-ых, 80-ых годов? Ради Бога! На словах звучит, конечно, хорошо, но вот на деле любовные линии скучны и вторичны, а ко всему прочему поданы кусками. К примеру, персонажи Алена Делона и Сильвии Кристель решили снова быть вместе после расставания. Когда они расстались? В чем была причина? Наконец, почему они снова решили быть вместе? На эти и другие вопросы зрителю не суждено найти ответа.

В завершении пару слов о технической стороне. Она отвратительна. И тут дело не в годе выхода, «2001: Космическая одиссея» вышла за 11 лет до «Аэропорта – 79», но спецэффекты в шедевре Стенли Кубрика поражают воображение даже сейчас  и это при том, что бюджет был примерно в три раза меньше, чем у фильма Дэвида Лоуелла Рича. Следовательно, их можно было сделать так, чтобы они хотя бы не резали глаз. Но даже при весьма крупном, по меркам 1979 года бюджете, эффекты не просто оставляют желать лучшего, но и вызывают откровенное отторжение. 

Подводя итоги хочется сказать, что «Аэропорт – 79» имел определенный потенциал и мог стать вполне себе средним фильмом, но на деле вышел скучны, вторичным и бредовым.

3 из 10",3 из 10,3
9,11,"Самое интригующее в этой картине - как Айван Рейтман вообще решился ее снять. Дать 'зеленый свет' комедии, в которой 56-летний Хариссон Форд крутит роман с 29-летней Энн Хейч, мог только безумец, и все, что касается романтики, действительно вышло неправдоподобным.

Форд отчаянно молодится и полфильма разгуливает с обнаженным торсом, Хейч старательно копирует Мег Райан, а сценарий допускает слишком много нелепостей. С другой стороны в фильме есть чудно заснятая природа, в меру смешные шутки и толика экшена, вызывающего в памяти славные деньки Индианы Джонса.

Этого достаточно, чтобы отвлечь от несуразностей сюжета и тотальной несовместимости звезд, но если Рейтман собирался снять фильм, достойный его предыдущих работ, к подбору сценария и исполнителей главных ролей ему стоило подойти с большим вниманием.

5 из 10",5 из 10,5
