,index,text,text_rating,rating
0,0,"Да, я знаю, фильм 'Из Африки' должен был в первую очередь поразить меня своей великой историей любви, но этого не случилось. Отчасти потому, что я не считаю любовь, в которой тебя не ценят, великой, а отчасти, потому что моим вниманием завладели несколько иные аспекты киноленты.

Жестокость к животным. Охота, сафари, доставка провизии на быках - все это резким холодным ударом заставляло меня отворачивать взгляд от экрана.

Я понимаю, что все вышеупомянутое - часть истории, истории, которая основа на реальных событиях, а из песни, как говорят, слов не выбросишь. Это правда, но это не значит, что она должна мне нравиться.

- Чем им могут навредить наши истории?
- У них есть собственные.

Однако здесь можно увидеть жестокость не только к животных, но и к людям. 'Белые люди', европейцы, почему то считали африканскую землю своей. А что хорошего они для нее сделали? Принесли на континент свои войны, в которые втягивали и местное население, забирали земли у тех, кто исконно на них жил, хотели превратить их в себя, считая африканцев недалекими и необразованными дикарями... 

Я очень люблю Африку и фильмов, хороших фильмов об этой части света, не так уж много. 'Из Африки' - один из них. Мне по душе, что создатели фильма акцентировали внимание не только на судьбах главных героев, но и показали нам красоту Африки. 

Мерил Стрип прекрасно сыграла Карен Бликси - я ей верила от начала и до конца. Ее героиня - сильная и смелая женщина (такая трех мужчин стоит!) - мне в большинстве своем, кроме тех моментов, где она брала в руки ружье, понравилась.

К сожалению, не могу того же сказать о главном герое-любовнике Денисе Финч Хеттоне (любит животных больше, чем людей и ездит на сафари) в исполнении Роберта Редфорда. Этот актер меня ничем не зацепил и ничем не понравился, но сыгранная им роль ему подходит.

По поводу любви же, то, как я уже говорила, она не вызвала у меня восхищения. Она любила его, а он любил ее и свободу... И хотя у истории этой немало печальных моментов, фильм лишен излишнего трагизма. Здесь все так спокойно и уверенно, словно эту историю рассказывает сама Жизнь.

Помимо печалей здесь есть и очень трогательные сцены, как, например, разговор Карен с губернатором. А еще мне очень понравился Фара, управляющий Карен. Истинная преданность. Он каждый менял цветы в комнате Карен, даже когда ее там не было...

Фильм, за исключением нескольких моментов, очень хорош. Два с половиной часа, но фильм не кажется затянутым. Он интересен, целостен и очень хорошо снят. Даже не верится, что это было еще в 1985 году. Не зная года создания, я бы с уверенностью сказала, что он создан где-то в 2000-х. И даже несмотря на то, что действия в фильме разворачиваются в начале ХХ века, впечатления, что это было так давно не создается. Это как будто история вне времени.

'Из Африки' - это история, которая не станет моей любимой, но о которой я не жалею, что посмотрела.

8 из 10",8 из 10,8
1,2,"Главное, что бросается сразу же - это неопределенность и недосказанность, которая присуствует в фильме. Но мне кажется фильм снят так намеренно, он таким образом отражает саму жизнь, все то что приключилось с главной героиней, все те сложности, которые она прошла, вся неопределенность ее судьбы, ее стремлений и желаний, отражается в самой сути и очень умело. К тому же она сама далеко не совершенна, как и практически все герои в этой истории поэтому Из Африки и обретает такой окрас. 

Некая неопределенность присутствует даже в определении жанра, это вроде бы и мелодрама, но как то и не совсем, или же байопик, но вновь, как минимум не классический. 

Что поражает воображение, так это сьемки дикой природы, вот они здесь просто блеск, к тому же очень кинематографично смотрятся и вписываются в общую картину крайне удачно, особенно сцены со львами. А сцена полета на самолетике вообще не подлежит описанию, красота, которая так и сочится с экрана просто завораживает, к тому же оператор сумел все это предподнести в очень выгодном свете, а еще и под такую красивую, масштабную музыку и безмерно романтичную между прочим. Эта сцена незабываема, я как любитель всяких Discovery и прочего в документальных передачах о природе такого не видел, не то что в художественном фильме. 

Вообще на мой взгляд главная романтика здесь не в любви и отношениях главных героев, а в самой атмосфере, духе дикой Африки, манящей музыке, хотя актеры играли блестяще, особенно (как бы это банально не звучало) Мерил Стрип, вновь какой  классный, теперь уже датский акцент. Пусть и конец отчасти трагичный с одной стороны... и грустный с другой, все же осадок фильм оставляет воздушный, что то такое родное что ли есть в той атмосфере в которую окунаешься на эти два с половиной часа. 

К слову о хронометраже, великоват конечно, история хоть и масштабная и снято тоже более или менее масштабно, но все же не достаточно, для такого огромного  хронометража. 

Очень хороший фильм в целом, хотя не знаю как на счет лучшего за год, все же конкуренты в тот год были сильные. Помимо 7 выигранных Оскаров в том числе в главной номинации, Американский Институт Кино включил Из Африки в списки 100 лучших романтических лент американского кино (#13), а саундтрек в 100 лучших саундтреков написанных для художественных фильмов (#15).

8 из 10",8 из 10,8
2,3,"Обычно пишу отзывы сразу после просмотра фильма. Это мое второе путешествие с данными героями в Африку. Впечатления свежи, я будто все еще там.

Необыкновенным пейзажам уделено не мало времени и думаю это имеет некую цель. На мой взгляд девственность природы, ее абсолютная неподдельность дает нам понять то, что все происходящее на экране в за правду. Это не кино - а реальная жизнь. Именно так я отнеслась к этому кинопроизведению, как к чьей-то жизненной истории. 

Как и в музыке, так и в кино мне нравятся разные 'исполнители.' Не могу сказать, что все кино работы Мерил Стрип или Роберта Рэдфорда меня восхищают. Но этот фильм - один из тех, где игре каждого из них по отдельности и им, как экранной паре, нельзя ставить какой-то балл. Потому что это бесподобное лицедейство. Это так сильно, так чувственно, проникновенно... всех эпитетов не переберешь! Я не просто верю им, я верю в реальность того чувства меж ними.

Отдельное слово хотелось бы сказать о  характере главной героини - он силен, как сталь. Отваги и целеустремленности ей явно не занимать. В ней есть этот стержень, который не дает сломаться ни при каких обстоятельствах: будь то неудача в бизнесе или любви. И вместе с тем, она умеет любить, Любить с большой буквы. И как бы не хотелось герою Рэдфорда вольному, как ветер, страннику  - она и его приручила (в хорошем смысле этого слова). Он разучился быть один.

Это один из тех фильмов, заканчивая просмотр которого, ты плачешь. Но на душе и на сердце, как ни странно, легко. И ты мысленно говоришь героям 'спасибо'.

8 из 10",8 из 10,8
3,4,"'У нее была ферма в Африке, у подножия холмов Мгонг…' 

Биографическая история писательницы датчанки Карен Бликсен, рассказанная ей самой. Воплощенная на экране утонченной  Мерил Стрип и интеллигентным  Робертом  Редфордом.

История независимой сильной женщины, но с присущими ей женскими слабостями, главная из которых – желание быть счастливой (рядом с любимым человеком). Получилось ли у нее – и да, и нет…

Удивительное кино о любви – неслучившейся и неугаданной, обретенной и потерянной. Неторопливое, красивое повествование, возможно даже многие найдут его скучным. Для него нужен особый настрой, умение различать нюансы и оттенки, помимо основных цветов, тогда удается проникнуться особой атмосферой фильма и насладиться просмотром. 

Как ни странно, труднее всего писать рецензии на фильмы, которые любишь. 

(Так же как и рассказывать о любимом  человеке). Иногда даже однозначно не определить, почему они так дороги твоему сердцу, это чувствуешь, и все…

Рекомендую  тем, кто ценит и любит кино о непростых человеческих отношениях и поиске себя, без особых интриг и поворотов  в сюжете, но с потрясающей актерской игрой, хорошо поставленными проникновенными диалогами, завораживающей природой и красивой мелодией.

Очень субъективные  10 из 10",10 из 10,10
4,5,"В зимние каникулы я поставил для себя цель, посмотреть все фильмы - лауреаты Оскара. Множество людей говорило о том, что данный фильм очень скучный и пафосный, но во многом я с ними не согласен.

Операторская работа потрясает, она сделана невероятно качественно для 80-ых годов прошлого века. Локации просто напросто завораживают, очень красивые костюмы и декорации, особенно, в этом фильме мне понравился саундтрек, уже заслушиваю его до дыр.

Актеры отлично исполнили своих персонажей. Мерил Стрип как всегда на высоте, её персонажи всегда показывают нам что-то новое в кино, а Роберт Редфорд сыграл очень мужественного и искреннего человека, в которого невозможно не влюбиться.

Фильм заслуживает, чтобы его увидели из-за того, чтобы лицезреть очень проникновенную и трагичную историю любви в таком далеком уголке, как Африка и насладиться её потрясающей экзотической атмосферой, которая представлена в невероятно добром свете.

Моя оценка этому великолепному фильму: 

10 из 10.",10 из 10,10
5,6,"Фарфоровая Мэрил Стрип. Как те фарфоровые чашки и хрустальные бокалы, что она  забрала с Родины. Это не просто любимые вещи. Это то, что есть её душа. Из такого же тончайшего фарфора. Кажется, что если смотреть через тот фарфор на Солнце, то увидишь и его обратную сторону. Её  шёлковые истории для человека-охотника, который привез в Африку  кусочки своей  Души -  любимые книги и Моцарта, вызывающего восторг обезьян. Ружья, львы, слоны, антилопы,  плантация кофе,  пробковые шлемы, костюмы - льняные белые и слоновой кости, хаки из джерси, Дух  Колоний перед концом Империй, время последних Джентельменов,  амазонка-фермерша, Мужчина и самолет.  Любовь, Дружба, Долг, Честь. Под солнцем и дождями Африки  они оставляют в себе только самое терпкое из ароматов. Это не замороженный Север, здесь люди гораздо дальше от предрассудков и гораздо ближе к милосердию. Ближе к настоящему, в настоящих  отношениях - особенно. История больших чувств и больших потерь. История любви благородной женщины и сильных  мужчин. История  завоевания  сердец  чёрных аборигенов белой женщиной.

Нет момента, цвета, фразы, мысли, на которой можно вдохнуть или выдохнуть. Все два с половиной часа я в глубоком погружении. Пласт фильма давит на голову и сердце, и под этим  давлением текут слёзы, каменное внутри  плющится в бальзам с запахом сандала и кофе. Ими пахнет от рук долго. Или это мне только кажется. Пусть кажется, когда так хорошо кажется.  В общем, подсел.

9 из 10",9 из 10,9
6,8,"Жажда свободы может увезти тебя в такие далекие места, из которых будет невозможно вернуться. Дух авантюризма может лишить тебя почвы под ногами. Зато в старости будет, что вспомнить, чем и занимается главная героиня, которую сыграла Мерил Стрип. Боже! Она великолепна в любом гриме, образе, в любой эпохе. Для нее нет ничего невозможного!

Однако на мой взгляд, в картине, слишком много флоры Африки. Фильм длится 2,5 часа, и кадры с природой, какой бы притягательной она ни была, можно было бы спокойно монтировать. Ритм картины тоже слегка хотелось подогнать. Фильм не скучен, нет! В нем есть и динамика, и лирические отступления, и реализм, и тяжелые психологические игры, в которые без конца играют главные персонажи. И все-таки, хотелось бы прийти к итогам поскорее. 

Героиня Стрип очень нуждалась в любви и счастье. Она была готова даже переехать из Дании в Африку, а может и на Северный полюс. Она придумывает сложную авантюру: отомстить бывшему любовнику, выйдя замуж за его брата, по совместительству своего друга. Что это? Бег от реальности, непринятие действительности? И все же, она идет на этот шаг, однако, семейная жизнь теперь видится ей совсем не такой, какой она ее себе представляла. Муж-барон долгими днями будет пропадать то в клубе, то на охоте. А что делать ей, баронессе? Скучать прикажете? Нет! Сажать и выращивать кофе! Да-да, не устраивать балы и маскарады, а самолично общаться с вождем африканского племени, лечить чернокожих ребятишек, учить их грамоте, сажать кусты кофе, поливать и хлопотать без конца. Вот она какая! Разумеется, такая женщина должна найти свое счастье, и она его найдет! Только встретится ей такой же свободолюбивый, красивый, честный и сложный мужчина... 

7 из 10",7 из 10,7
7,11,"Земля для того и задумана круглой, чтобы мы не могли заглянуть слишком далеко за горизонт.

Эта фраза из фильма имеет поистине немаловажное значение. Мы не можем предугадать завтрашний день. Как не могла предвидеть Карен Бликсен, что отправляясь в Африку, она встретит любовь всей своей жизни. Как не могла предвидеть я, что моя жизнь разделится на 'до' и 'после' этого фильма...

Кто-то назовет эту картину невыносимо скучной и длинной. Я же считаю, что это поистине шедевр кинематографа 80-90-х годов прошлого века, созданный мастером своего дела Сидни Поллаком. Один из немногх фильмов, который заслуженно получил две главные награды Киноакадемии - за Лучший фильм и Лучшую режиссуру. И, конечно, же одна из лучших историй любви, великолепно сыгранная Мэрил Стрип и Робертом Редфордом.

В фильме есть все. Прежде всего - величественная и загадочная природа Африки, которая завораживает с первых кадров. Прекрасная работа оператора переносит зрителя в эту атмосферу, создает ощущение присутствия там. Далее - история. История Женщины, волевой, решительной, сильной, сумевшей организовать работу на ферме, построить фабрику, а в дальнейшем и школу. Женщины, пережившей болезнь и простившей предательство мужа. Женщины, которая любила и была любима, и которая потеряла все, что ей было дорого...

Помимо работ режиссера, актеров и оператора хочется выделить работу композитора Джона Барри. Его музыка помогает еще глубже прочувствовать фильм. А также работу сценаристов, которым удалось адаптировать произведения Бликсен.

Настоящим шедеврам кино, как доказывает время, не нужны громкие названия. Но сколько всего кроется за всего лишь двумя словами - 'Из Африки'...

10 из 10",10 из 10,10
8,15,"Биографическая драма 'Из Африки', поставленная известным режиссёром Сидни Поллаком в 1985-ом году, стала одной из лучших в его карьере: отличные кассовые сборы (бюджет составлял 31 миллион долларов, а в мире фильм собрал около 130), множество премий и наград, среди которых 'Оскар' за лучшую режиссуру. Поставлен фильм по автобиографической книге датчанки Карен Бликсен (писала под псевдонимом Исак Динесен) с литературными добавлениями от Джудит Турман и Эррола Тжебински. Главные роли в нём сыграли признанные одними из лучших актёров Голливуда за всё время его существования - Мерил Стрип в образе самой Карен Бликсен и Роберт Редфорд, воплотивший персонаж её возлюбленного Дениса Финча Хэттона. За исполнение роли второго плана барона Брора фон Бликсен-Финеке австрийский актёр Клаус Мария Брандауэр был тоже премирован и номинирован на престижные кинонаграды.

Итак, место действия после короткого вступления - Британская Восточная Африка, ныне Кения. В это экзотическое и опасное место пребывает будущая баронесса Карен фон Бликсен-Финеке, чтобы вступить в брак с бароном Брором. Карен желает построить в Кении плантацию, ссудив деньги у своего отца, но барон Брор иначе смотрит на ситуацию и хочет выращивать кофе, причём в этом процессе он совершенно не разбирается. Вскоре, покинув Карен, уже ставшую ему женой, он отлучается на долгую охоту, полностью переложив груз ответственности на супругу. Верный слуга Карен по имени Фарах знакомит женщину с местными жителями и устроем жизни, а она в свою очередь начинает проникаться духом Африки, практически уже не вспоминает о муже и часто встречается со своенравным охотником Денисом Финчем Хэттоном, с которым она познакомилась во время приезда в Кению, а потом он отпугнул льва, когда Карен безрассудно отправилась сама бродить по опасной африканской местности. По законам жанра у них начинается романтическая связь.

Хронометраж картины 'Из Африки' составляет более двух с половиной часов, что достаточное велико. Но за это время Сидни Поллак успел показать долгое пребывание баронессы в Кении, её взаимоотношения с мужчинами, выпукло выразил драматизм её жизни, открыл своеобразие экзотической страны со всей её красотой и первобытностью. Поклонникам визуальных образов тут есть чем поживиться: натурные съёмки оператора Дэвида Уоткина ничего не скрывают и ничего не украшают, подача материала идёт с естеством и великолепием, отчего зритель может погрузиться в этот прекрасный мир. Многие сцены с подобными зарисовками усилены действиями персонажей, таким образом красочно соединены статика и динамика. К тому же зритель получает в полной объёме весь спектр эмоций и чувств: от визуального восприятия до насыщения картинки актёрским исполнением. Подчёркивается этот видеоряд прекрасным музыкальным сопровождением от блистательного композитора Джона Бэрри, известного по работе с многочисленными сериями 'бондианы', в том числе написанием заглавной темы.

По поводу актёрской игры некоторые особо придирчивые критики были недовольны Мерил Стрип и Робертом Редфордом, несмотря на то, что оба они тоже получили свои номинации, в том числе Стрип имела возможность завоевать 'Оскар'. Главное претензией было то, что между героями не ощущалась 'химия'. Что же, Сидни Поллак успел многое показать в фильме, чуть ли не всю жизнь Карен, но обошёл стороной, что у неё дважды не получилось произвести на свет ребёнка. С таким условием драматизм был бы куда глубже, но нужно же было что-то оставить вне фильма, что-то сокровенное? И Мерил Стрип с Робертом Редфордом со всей полнотой чувств и выразительностью в действиях и словах прекрасно передали свои персонажи. Их история счастья, любви и трагедии умело вложена в рамки биографического кино и раскрыта практически идеально. Всеми своими сценами сполна воспользовался Клаус Мария Брандауэр, который сделал своего героя не полным негодяем, но и хорошим человеком назвать его никак не получается. И очень колоритен был Малик Боуэнс в роли Фараха.

Фильм 'Из Африки' сотворён как удивительное сочетание ярких и запоминающихся пейзажей первобытной Африки и духом европейских переселенцев, вынужденных мириться с законами, царящими в жарких саваннах, но при этом не забывающих про чистое и прекрасное чувство, без которого там сложно прожить, но сама жизнь расставляет акценты и драмы иногда не избежать. Фильм, который так же стоит увидеть из-за участия в нём двух икон Голливуда - Мерил Стрип и Роберта Редфорда.

9 из 10",9 из 10,9
9,16,"Этот фильм великолепен в очень многих отношениях: отличные натуралистичные съемки, крайне живые и яркие второстепенные герои, интересные и харизматичные главные герои и он правдоподобен именно с точки зрения жизни. Вспоминается сцена, когда Карен приезжает в военный лагерь к мужу. Это было длинное и опасное путешествие и вот она въезжает на лошади: косматая, с грязным лицом и одеждой, уставшая, почти измученная. Вот в этом и есть  жизненная правдивость, не убитая кинематографом: ведь нам обычно показывают сногсшибально красивых  женщин даже побывавших чуть ли не в аду. Это вызывает уважение у меня как у зрителя.

Мерил Стрип замечательная актриса и не менее замечательная женщина. У нее очень интересная внешность, она притягивает взгляд. Весь фильм я не могла отовраться от нее, я получала наслаждение наблюдая за ее работой. Ее героиня однозначно сильная личность, устойчивая, на таких женщинах может держаться целый мир, а они от этого будут только крепче. Мне нравится ее героиня: ее сила опирается на ее личность, на ее духовный стержень - это по-настоящему красиво.

Роберт Редфорд ничем не уступает, он составляет отличный дуэт и его герой обладает яркой харизмой, понимает мир по своему. И вот он вечный спор: что есть свобода и как много можно за нее отдать. И этот фильм дает интересный ответ: как любовь может изменить отношение к свободе, ее понимание в целом.

Мне очень понравились второстепенные герои, почти все. Например, Джума. В начале фильма она одевает ему на руки перчатки, как это принято у слуг в Европе. Его реакция великолепна: он разворачивает кисти таким образом, что становится понятно -  руки стали будто бы чужими. Отличный прием!

Конечно концовка трогает, она и не может не тронуть, ведь все уже так хорошо... или почти хорошо. Но потом понимаешь, что впечатление фильм оставляет очень легкое, невесомое. Кстати в сюжете очень много мест, где можно досадовать на судьбу (вспомнить хотя бы пожар на фабрике), но видя реакцию на события героини понимаешь, что жизнь этим не заканчивается, она вечна. И учишься проживать такие моменты достойно. 

10 из 10",10 из 10,10
